date,ticker,market_cap,eps_ttm
2023-06-01,DAL,23.382,3.0
2023-06-01,CHD,22.655,1.67
2023-06-01,ATEYY,24.491,4.74
2023-06-01,STT,23.241,7.14
2023-06-01,HZNP,22.954,1.59
2023-06-01,NOK,22.895,0.81
2023-06-01,ZTO,22.766,1.22
2023-06-01,ENPH,24.869,3.6
2023-06-01,EQR,23.344,2.36
2023-06-01,ARGX,22.54,-8.99
2023-06-01,GPC,20.968,8.73
2023-06-01,DTE,22.107,5.65
2023-06-01,MT,21.901,7.0
2023-06-01,ALGN,22.741,4.05
2023-06-01,CQP,21.796,6.88
2023-06-01,UMC,21.325,1.12
2023-06-01,UDR,22.038,0.31
2023-06-01,FSLR,22.299,0.41
2023-06-01,HIG,21.456,5.8
2023-06-01,DB,21.406,2.53
2023-06-01,AEE,21.103,4.17
2023-06-01,CAH,21.239,1.7
2023-06-01,ULTA,20.111,24.47
2023-06-01,FE,21.298,0.71
2023-06-01,HRL,21.971,1.78
2023-06-01,BAX,20.856,-4.88
2023-06-01,EXR,20.395,6.34
2023-06-01,PKX,21.043,7.41
2023-06-01,WY,20.9,1.71
2023-06-01,INVH,20.799,0.68
2023-06-01,MTB,20.12,12.92
2023-06-01,ETR,20.591,5.48
2023-06-01,FTS,20.456,2.16
2023-06-01,ELP,19.895,0.08
2023-06-01,TCOM,21.131,0.31
2023-06-01,NET,23.118,-0.66
2023-06-01,WPM,20.939,1.38
2023-06-01,RCL,21.285,-4.13
2023-06-01,AIU,19.919,-5.45
2023-06-01,SYM,19.919,-0.37
2023-06-01,MDB,20.733,-5.17
2023-06-01,IFF,19.54,-8.32
2023-06-01,IX,20.375,8.23
2023-06-01,STE,19.969,1.08
2023-06-01,HPE,19.01,0.79
2023-06-01,GRMN,19.869,5.0
2023-06-01,FICO,19.826,14.97
2023-06-01,RTO,20.231,0.71
2023-06-01,RJF,19.314,7.6
2023-06-01,ZM,20.182,0.02
2023-06-01,TECK,21.445,5.2
2023-06-01,CLX,19.609,0.6
2023-06-01,DRI,19.558,7.65
2023-06-01,HOLX,19.515,3.02
2023-06-01,ROL,19.82,0.78
2023-06-01,BEKE,18.932,0.23
2023-06-01,ARE,19.442,4.58
2023-06-01,EC,19.386,3.28
2023-06-01,PPL,19.237,0.98
2023-06-01,DOV,18.888,7.49
2023-06-01,LH,18.822,11.16
2023-06-01,HEI,18.524,2.74
2023-06-01,PODD,18.991,0.0
2023-06-01,ZS,19.604,-2.34
2023-06-01,SQM,18.901,13.51
2023-06-01,LYV,18.651,0.78
2023-06-01,TDY,18.414,15.78
2023-06-01,TSN,17.997,4.18
2023-06-01,CTRA,17.399,5.22
2023-06-01,FCNCA,18.308,704.29
2023-06-01,COO,18.506,7.54
2023-06-01,NVR,18.087,469.33
2023-06-01,FRFHF,17.802,70.19
2023-06-01,HWM,18.073,1.15
2023-06-01,CNHI,17.592,1.57
2023-06-01,OMC,17.817,6.64
2023-06-01,CNP,17.909,1.26
2023-06-01,KOF,17.531,0.91
2023-06-01,BRO,17.799,2.43
2023-06-01,PTAIY,17.467,1.02
2023-06-01,POAHY,17.873,1.32
2023-06-01,MKL,17.767,19.85
2023-06-01,EXPD,17.033,7.65
2023-06-01,BR,17.579,4.67
2023-06-01,JBHT,17.551,8.82
2023-06-01,LUV,17.323,1.07
2023-06-01,ERIC,17.722,0.48
2023-06-01,MAA,17.605,5.69
2023-06-01,FLT,16.834,12.17
2023-06-01,PHG,18.225,-2.53
2023-06-01,FITB,16.875,3.45
2023-06-01,VTR,17.414,-0.15
2023-06-01,WAB,16.737,3.59
2023-06-01,EBR,16.39,-0.05
2023-06-01,PBA,16.996,3.62
2023-06-01,ASX,16.858,0.79
2023-06-01,PAYC,16.949,5.32
2023-06-01,BALL,16.24,1.44
2023-06-01,SWKS,16.853,6.93
2023-06-01,HLDCY,14.717,0.24
2023-06-01,ICLR,17.684,6.31
2023-06-01,RF,16.289,2.35
2023-06-01,CMS,16.753,2.33
2023-06-01,BIP,16.575,0.08
2023-06-01,SGSOY,16.6,0.35
2023-06-01,CAG,16.415,1.67
2023-06-01,SUI,16.586,1.75
2023-06-01,BMRN,16.566,0.37
2023-06-01,SEDG,16.608,3.27
2023-06-01,PINS,16.144,-0.44
2023-06-01,PFG,16.261,16.99
2023-06-01,TYL,16.727,3.69
2023-06-01,SPLK,17.057,-1.77
2023-06-01,SNAP,16.546,-0.87
2023-06-01,ATO,16.193,5.76
2023-06-01,BBY,15.941,5.91
2023-06-01,TW,15.962,1.5
2023-06-01,STLD,15.58,18.91
2023-06-01,TER,15.985,3.8
2023-06-01,ENTG,16.443,-0.05
2023-06-01,LW,16.329,3.75
2023-06-01,UWMC,16.106,0.08
2023-06-01,MOH,16.497,14.9
2023-06-01,DSCSY,16.178,0.51
2023-06-01,TRGP,15.55,3.85
2023-06-01,SJM,15.452,6.64
2023-06-01,IRM,15.5,1.98
2023-06-01,HUBB,15.393,10.93
